Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Ashburn-VA-EQIX-DC6,,104,"4,5",5,2,on,log1-1,HP,ProLiant DL380 G7,USE041NAHR,,,
Ashburn-VA-EQIX-DC6,,104,"30,31",31,2,on,event1-4-prod-iad,HP,ProLiant DL380P G8,2M232800PL,,,
Ashburn-VA-EQIX-DC6,,104,"28,29",29,2,on,event1-1-prod-iad,HP,ProLiant DL380P G8,2M232800PK,,,
Ashburn-VA-EQIX-DC6,,104,"43,44",44,2,on,pdu104-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,104,"41,42",42,2,on,pdu104-2,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,105,2,2,1,on,sumdb1-1-dmz-iad,HP,ProLiant DL360 G7,USE041N12Q,,,
Ashburn-VA-EQIX-DC6,,105,"25,26",26,2,on,event2-3-prod-iad,HP,ProLiant DL380 G7,USE233C1HF,,,
Ashburn-VA-EQIX-DC6,,105,"23,24",24,2,on,event2-2-prod-iad,HP,ProLiant DL380 G7,USE233C1HL,,,
Ashburn-VA-EQIX-DC6,,105,"20,21",21,2,on,sumdb2-1-prod-iad,HP,ProLiant DL380 G7,USE119N9C7,,,
Ashburn-VA-EQIX-DC6,,105,"16,17",17,2,on,loader2-1,HP,ProLiant DL380 G7,USE041NAHV,,,
Ashburn-VA-EQIX-DC6,,105,"14,15",15,2,on,sumdb2-2,HP,ProLiant DL380 G7,USE041NAJ0,,,
Ashburn-VA-EQIX-DC6,,105,"11,12",12,2,on,vmhost4-io-prod-iad,HP,ProLiant DL380 G7,USE119N9C5,,,
Ashburn-VA-EQIX-DC6,,105,"8,9",9,2,on,sharddb2-1,HP,ProLiant DL380 G7,USE041NAHX,,,
Ashburn-VA-EQIX-DC6,,105,"4,5",5,2,off,log2-1,HP,ProLiant DL380 G7,USE041NAHZ,,,
Ashburn-VA-EQIX-DC6,,105,"30,31",31,2,on,event2-4-prod-iad,HP,ProLiant DL380P G8,2M232800PN,,,
Ashburn-VA-EQIX-DC6,,105,"28,29",29,2,on,event2-1-prod-iad,HP,ProLiant DL380P G8,2M232800PM,,,
Ashburn-VA-EQIX-DC6,,105,"42,44",44,2,on,pdu104-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,105,"41,42",42,2,on,pdu104-2,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,106,17,17,1,on,rbatch1-1,HP,ProLiant DL360 G7,USE041N47J,,,
Ashburn-VA-EQIX-DC6,,106,12,12,1,on,svcs1-1,HP,ProLiant DL360 G7,USE041N41P,,,
Ashburn-VA-EQIX-DC6,,106,9,9,1,on,sciencedb1-1-prod-iad,HP,ProLiant DL360 G7,USE041N46T,,,
Ashburn-VA-EQIX-DC6,,106,7,7,1,on,ops2-3,HP,ProLiant DL360 G7,USE042N5KV,,,
Ashburn-VA-EQIX-DC6,,106,4,4,1,on,vmhost33-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LJ,,,
Ashburn-VA-EQIX-DC6,,106,3,3,1,on,monitor1-1,HP,ProLiant DL360 G7,USE042N5LO,,,
Ashburn-VA-EQIX-DC6,,106,2,2,1,on,usutil1-1 old,HP,ProLiant DL360 G7,USE042N5KX,,,
Ashburn-VA-EQIX-DC6,,106,"32,33,34,35",35,4,on,kvstore1-4-prod-iad,HP,ProLiant DL580 G7,USE119N5DQ,,,
Ashburn-VA-EQIX-DC6,,106,"28,29,30,31",31,4,on,kvstore1-3-prod-iad,HP,ProLiant DL580 G7,USE119N5DK,,,
Ashburn-VA-EQIX-DC6,,106,"24,25,26,27",27,4,on,kvstore1-2-prod-iad,HP,ProLiant DL580 G7,USE119N5DS,,,
Ashburn-VA-EQIX-DC6,,106,"20,21,22,23",23,4,on,kvstore1-1-prod-iad,HP,ProLiant DL580 G7,USE119N5DR,,,
Ashburn-VA-EQIX-DC6,,106,"13,14,15,16",16,4,on,vmhost1-ultra-prod-iad,HP,ProLiant DL580 G7,USE119N6KM,,,
Ashburn-VA-EQIX-DC6,,106,"43,44",44,2,on,pdu104-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,106,"41,42",42,2,on,pdu104-2,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,107,17,17,1,on,rbatch2-1,HP,ProLiant DL360 G7,USE041N47M,,,
Ashburn-VA-EQIX-DC6,,107,12,12,1,on,svcs2-1,HP,ProLiant DL360 G7,USE041N41N,,,
Ashburn-VA-EQIX-DC6,,107,9,9,1,off,de2-1,HP,ProLiant DL360 G7,USE041N46V,,,
Ashburn-VA-EQIX-DC6,,107,7,7,1,on,vmhost1-office-app-iad,HP,ProLiant DL360 G7,USE042N5L5,,,
Ashburn-VA-EQIX-DC6,,107,4,4,1,on,ops1-3,HP,ProLiant DL360 G7,USE042N5LX,,,
Ashburn-VA-EQIX-DC6,,107,3,3,1,on,monitor2-1,HP,ProLiant DL360 G7,USE042N5L6,,,
Ashburn-VA-EQIX-DC6,,107,2,2,1,off,usutil2-1 old,HP,ProLiant DL360 G7,USE042N5LG,,,
Ashburn-VA-EQIX-DC6,,107,"32,33,34,35",35,4,on,kvstore2-4-prod-iad,HP,ProLiant DL580 G7,USE119N5DM,,,
Ashburn-VA-EQIX-DC6,,107,"28,29,30,31",31,4,on,kvstore2-3-prod-iad,HP,ProLiant DL580 G7,USE119N5DN,,,
Ashburn-VA-EQIX-DC6,,107,"24,25,26,27",27,4,on,kvstore2-2-prod-iad,HP,ProLiant DL580 G7,USE119N5DP,,,
Ashburn-VA-EQIX-DC6,,107,"20,21,22,23",23,4,on,kvstore2-1-prod-iad,HP,ProLiant DL580 G7,USE119N5DL,,,
Ashburn-VA-EQIX-DC6,,107,"13,14,15,16",16,4,on,vmhost2-ultra-prod-iad,HP,ProLiant DL580 G7,USE119N6KL,,,
Ashburn-VA-EQIX-DC6,,107,"43,44",44,2,on,pdu104-1,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,107,"41,42",42,2,on,pdu104-2,APC,Switched Rack PDU,,,,
Ashburn-VA-EQIX-DC6,,108,28,28,1,on,vmhost31-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LL,,,
Ashburn-VA-EQIX-DC6,,108,27,27,1,on,vmhost29,HP,ProLiant DL360 G7,USE042N5LT,,,
Ashburn-VA-EQIX-DC6,,108,21,21,1,on,vmhost27,HP,ProLiant DL360 G7,USE119N9FV,,,
Ashburn-VA-EQIX-DC6,,108,20,20,1,on,vmhost25,HP,ProLiant DL360 G7,USE119N9FS,,,
Ashburn-VA-EQIX-DC6,,108,19,19,1,on,vmhost23,HP,ProLiant DL360 G7,USE119N9G1,,,
Ashburn-VA-EQIX-DC6,,108,18,18,1,on,vmhost21,HP,ProLiant DL360 G7,USE119N9G0,,,
Ashburn-VA-EQIX-DC6,,108,13,13,1,on,vmhost19-app-prod-iad,HP,ProLiant DL360 G7,USE042N5LN,,,
Ashburn-VA-EQIX-DC6,,108,12,12,1,on,vmhost17,HP,ProLiant DL360 G7,USE042N5L8,,,
Ashburn-VA-EQIX-DC6,,108,10,10,1,on,vmhost15,HP,ProLiant DL360 G7,USE042N5KZ,,,
